round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Andy Murray,7-5 6-1 6-4,2010,m,Andy Murray,Florent Serra,GBR,FRA,55%,66%,14,6,3,2,81%,51%,56%,48%,211.0,207.0,188.0,189.0,145.0,142.0,44%,100%,49%,29%,102,72,49.0,26.0,28.0,35.0,87%,48%
Third,John Isner,6-1 4-6 7-6(4) 7-6(5),2010,m,John Isner,Gael Monfils,USA,FRA,66%,60%,26,12,3,7,80%,71%,53%,52%,223.0,210.0,194.0,183.0,174.0,151.0,80%,43%,35%,28%,139,118,73.0,34.0,38.0,28.0,66%,86%
Third,Ivo Karlovic,6-3 3-6 6-3 7-6(7),2010,m,Ivo Karlovic,Ivan Ljubicic,CRO,CRO,71%,61%,33,14,2,0,85%,76%,52%,51%,229.0,216.0,212.0,190.0,165.0,148.0,20%,14%,34%,24%,132,117,64.0,43.0,36.0,25.0,62%,64%
Third,Rafael Nadal,6-4 6-2 2-6 7-5,2010,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,62%,61%,6,11,3,4,69%,68%,51%,48%,200.0,206.0,177.0,187.0,141.0,156.0,42%,20%,39%,37%,137,129,36.0,41.0,38.0,58.0,71%,58%
Second,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Victor Hanescu,SUI,ROU,67%,70%,8,3,1,1,82%,56%,63%,46%,204.0,203.0,192.0,189.0,153.0,159.0,45%,0%,47%,24%,96,64,52.0,20.0,18.0,26.0,81%,62%
Second,Albert Montanes,4-6 6-7(3) 6-2 6-3 6-2,2010,m,Albert Montanes,Stephane Robert,ESP,FRA,68%,59%,13,3,5,7,69%,59%,46%,47%,194.0,185.0,177.0,169.0,145.0,133.0,47%,40%,44%,37%,174,150,69.0,43.0,57.0,55.0,48%,64%
Second,Lleyton Hewitt,7-6(3) 6-4 6-1,2010,m,Lleyton Hewitt,Donald Young,AUS,USA,58%,63%,7,8,1,2,68%,65%,63%,30%,196.0,206.0,176.0,174.0,146.0,144.0,50%,33%,46%,34%,102,76,32.0,30.0,24.0,42.0,73%,65%
Second,Marcos Baghdatis,4-6 3-6 7-6(4) 6-3 6-1,2010,m,Marcos Baghdatis,David Ferrer,CYP,ESP,53%,66%,11,1,1,0,76%,62%,54%,53%,213.0,192.0,189.0,174.0,133.0,144.0,35%,44%,41%,34%,166,154,56.0,47.0,67.0,72.0,76%,68%
Second,Fernando Verdasco,6-1 6-2 6-2,2010,m,Fernando Verdasco,Ivan Sergeyev,ESP,UKR,70%,40%,6,0,6,7,72%,53%,46%,34%,210.0,195.0,177.0,180.0,154.0,142.0,44%,20%,54%,33%,101,64,38.0,16.0,32.0,47.0,72%,62%
Second,Juan Monaco,3-6 3-6 7-6(5) 6-1 6-3,2010,m,Juan Monaco,Michael Llodra,ARG,FRA,68%,57%,5,5,2,7,63%,63%,57%,45%,197.0,205.0,172.0,179.0,147.0,153.0,44%,47%,42%,39%,152,137,73.0,53.0,31.0,46.0,53%,52%
Second,Nikolay Davydenko,6-3 6-3 6-0,2010,m,Nikolay Davydenko,Illya Marchenko,RUS,UKR,75%,53%,9,1,0,1,79%,62%,47%,30%,207.0,192.0,175.0,173.0,139.0,140.0,64%,14%,52%,29%,90,55,27.0,14.0,19.0,32.0,57%,50%
Second,Novak Djokovic,3-6 6-1 6-1 6-3,2010,m,Novak Djokovic,Marco Chiudinelli,SRB,SUI,63%,56%,12,3,9,3,75%,58%,33%,42%,202.0,208.0,186.0,187.0,158.0,147.0,44%,18%,48%,38%,124,103,46.0,25.0,61.0,42.0,73%,58%
Second,Mikhail Youzhny,6-2 6-1 6-1,2010,m,Mikhail Youzhny,Jan Hajek,RUS,CZE,60%,70%,5,0,1,5,92%,47%,50%,33%,196.0,192.0,173.0,166.0,142.0,138.0,64%,-,53%,25%,85,45,25.0,18.0,13.0,46.0,92%,50%
Second,Jo-Wilfried Tsonga,6-4 6-3 6-3,2010,m,Jo-Wilfried Tsonga,Taylor Dent,FRA,USA,58%,47%,12,4,0,7,86%,70%,61%,47%,215.0,231.0,191.0,203.0,147.0,172.0,45%,100%,39%,25%,91,67,42.0,25.0,10.0,33.0,60%,52%
Second,Tommy Haas,4-6 6-4 6-3 1-6 6-3,2010,m,Tommy Haas,Janko Tipsarevic,GER,SRB,56%,54%,16,14,7,5,72%,69%,44%,52%,198.0,202.0,181.0,188.0,155.0,145.0,75%,35%,38%,39%,144,140,60.0,39.0,78.0,41.0,74%,61%
Second,Nicolas Almagro,6-4 6-2 3-6 4-6 6-3,2010,m,Nicolas Almagro,Benjamin Becker,ESP,GER,59%,53%,17,14,1,6,78%,77%,67%,55%,214.0,216.0,186.0,189.0,147.0,148.0,57%,100%,32%,26%,135,121,55.0,34.0,39.0,55.0,45%,79%
Second,Andy Roddick,6-3 6-4 6-4,2010,m,Andy Roddick,Thomaz Bellucci,USA,BRA,80%,61%,11,8,0,4,78%,65%,75%,47%,220.0,204.0,195.0,178.0,167.0,153.0,33%,20%,40%,23%,102,75,27.0,35.0,13.0,43.0,57%,61%
Second,Feliciano Lopez,6-3 2-6 6-3 6-2,2010,m,Feliciano Lopez,Rainer Schuettler,ESP,GER,48%,64%,11,2,4,4,70%,68%,59%,44%,210.0,199.0,186.0,167.0,155.0,139.0,50%,22%,39%,35%,117,102,42.0,27.0,57.0,50.0,63%,48%
Second,Fernando Gonzalez,6-3 6-4 7-5,2010,m,Fernando Gonzalez,Marsel Ilhan,CHI,TUR,59%,77%,14,5,6,1,86%,59%,51%,59%,205.0,201.0,175.0,177.0,149.0,146.0,44%,33%,41%,26%,109,84,51.0,19.0,44.0,24.0,67%,59%
Second,Marin Cilic,6-7(6) 6-3 4-6 6-2 6-4,2010,m,Marin Cilic,Bernard Tomic,CRO,AUS,46%,66%,25,4,3,8,78%,63%,57%,45%,209.0,196.0,192.0,182.0,144.0,138.0,50%,38%,41%,33%,185,161,67.0,29.0,70.0,63.0,64%,64%
Second,Stanislas Wawrinka,6-3 6-2 6-2,2010,m,Stanislas Wawrinka,Igor Kunitsyn,SUI,RUS,53%,72%,12,2,5,1,88%,58%,41%,47%,214.0,176.0,194.0,160.0,155.0,132.0,71%,0%,44%,33%,92,70,30.0,10.0,43.0,37.0,67%,85%
Second,Juan Martin Del Potro,6-4 6-7(3) 5-7 6-3 10-8,2010,m,Juan Martin Del Potro,James Blake,ARG,USA,58%,62%,19,16,9,4,79%,69%,43%,48%,215.0,206.0,192.0,182.0,151.0,148.0,32%,50%,38%,35%,205,200,69.0,81.0,60.0,60.0,72%,65%
Second,Andy Murray,6-1 6-4 6-3,2010,m,Andy Murray,Marc Gicquel,GBR,FRA,56%,59%,10,1,2,4,72%,59%,57%,39%,209.0,201.0,190.0,184.0,143.0,151.0,50%,14%,47%,34%,100,76,38.0,20.0,32.0,43.0,78%,67%
Second,Florent Serra,3-6 6-4 5-7 7-6(4) 7-5,2010,m,Florent Serra,Jarkko Nieminen,FRA,FIN,58%,76%,11,9,7,4,63%,64%,56%,54%,198.0,203.0,175.0,164.0,139.0,125.0,35%,29%,38%,38%,195,199,66.0,52.0,104.0,58.0,58%,64%
Second,John Isner,6-3 7-6(4) 7-5,2010,m,John Isner,Louk Sorensen,USA,IRL,74%,61%,21,11,2,6,74%,91%,68%,50%,215.0,200.0,181.0,172.0,162.0,143.0,40%,0%,24%,27%,99,94,61.0,28.0,51.0,19.0,81%,0%
Second,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Antonio Veic,FRA,CRO,63%,63%,7,2,7,0,73%,60%,45%,45%,209.0,188.0,174.0,169.0,146.0,132.0,86%,60%,45%,35%,103,85,42.0,23.0,39.0,24.0,71%,56%
Second,Rafael Nadal,6-2 6-2 6-2,2010,m,Rafael Nadal,Lukas Lacko,ESP,SVK,55%,40%,1,2,1,5,71%,59%,69%,35%,202.0,203.0,186.0,185.0,143.0,154.0,70%,100%,52%,29%,89,55,15.0,13.0,30.0,58.0,80%,56%
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,SUI,RUS,58%,63%,9,2,3,7,75%,56%,51%,37%,204.0,208.0,181.0,184.0,153.0,140.0,47%,45%,48%,34%,135,103,29.0,26.0,38.0,55.0,74%,59%
First,Stephane Robert,6-3 7-6(2) 7-6(4),2010,m,Stephane Robert,Potito Starace,FRA,ITA,63%,61%,3,5,2,2,73%,66%,58%,51%,189.0,195.0,169.0,174.0,132.0,146.0,50%,18%,39%,32%,134,110,51.0,56.0,26.0,53.0,67%,60%
First,Lleyton Hewitt,6-1 6-2 6-3,2010,m,Lleyton Hewitt,Ricardo Hocevar,AUS,BRA,60%,70%,10,5,3,4,89%,61%,64%,36%,197.0,203.0,178.0,181.0,135.0,153.0,50%,0%,44%,20%,88,58,33.0,19.0,26.0,39.0,70%,59%
First,Marcos Baghdatis,6-2 6-4 6-4,2010,m,Marcos Baghdatis,Paolo Lorenzi,CYP,ITA,52%,66%,7,2,1,6,84%,58%,68%,43%,204.0,193.0,187.0,171.0,142.0,147.0,50%,25%,44%,24%,102,71,31.0,19.0,30.0,50.0,62%,53%
First,David Ferrer,6-0 6-0 2-0 ret.,2010,m,David Ferrer,Frederico Gil,ESP,POR,58%,70%,2,0,1,1,81%,31%,73%,21%,186.0,172.0,165.0,150.0,133.0,133.0,78%,-,70%,22%,61,21,13.0,1.0,11.0,26.0,50%,29%
First,Fernando Verdasco,6-7(4) 7-6(1) 7-5 6-2,2010,m,Fernando Verdasco,Carsten Ball,ESP,AUS,73%,50%,7,13,6,6,79%,64%,45%,58%,210.0,219.0,170.0,192.0,148.0,160.0,27%,23%,37%,29%,161,138,37.0,62.0,28.0,63.0,74%,65%
First,Juan Monaco,6-3 7-6(5) 6-1,2010,m,Juan Monaco,Ernests Gulbis,ARG,LAT,66%,54%,3,8,1,7,69%,59%,52%,38%,191.0,214.0,173.0,197.0,150.0,171.0,42%,30%,47%,37%,113,87,19.0,33.0,31.0,73.0,69%,56%
First,Nikolay Davydenko,6-1 6-0 6-3,2010,m,Nikolay Davydenko,Dieter Kindlmann,RUS,GER,60%,60%,6,0,2,6,67%,45%,63%,28%,203.0,178.0,172.0,167.0,141.0,141.0,45%,33%,57%,34%,89,52,39.0,12.0,25.0,35.0,60%,80%
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,SRB,ESP,69%,60%,4,5,5,5,76%,71%,57%,33%,198.0,192.0,175.0,176.0,158.0,153.0,36%,17%,42%,28%,103,78,23.0,24.0,28.0,47.0,63%,82%
First,Marco Chiudinelli,7-6(7) 7-6(3) 4-6 6-3,2010,m,Marco Chiudinelli,Marinko Matosevic,SUI,AUS,58%,55%,4,12,3,5,72%,60%,51%,59%,202.0,190.0,184.0,175.0,144.0,137.0,50%,42%,39%,36%,142,134,42.0,51.0,48.0,49.0,77%,70%
First,Michael Berrer,6-1 6-2 6-1,2010,m,Michael Berrer,Kristof Vliegen,GER,BEL,69%,68%,10,5,4,4,92%,54%,59%,24%,211.0,174.0,188.0,155.0,148.0,137.0,50%,-,53%,17%,88,45,40.0,13.0,19.0,34.0,70%,38%
First,Mikhail Youzhny,6-7(9) 4-6 7-6(2) 7-6(4) 6-4,2010,m,Mikhail Youzhny,Richard Gasquet,RUS,FRA,57%,54%,12,8,8,9,73%,79%,51%,42%,196.0,202.0,178.0,182.0,137.0,153.0,60%,38%,36%,35%,187,180,79.0,69.0,80.0,65.0,65%,75%
First,Jo-Wilfried Tsonga,6-3 6-4 6-4,2010,m,Jo-Wilfried Tsonga,Sergiy Stakhovsky,FRA,UKR,66%,60%,15,5,1,6,81%,61%,53%,47%,214.0,204.0,176.0,179.0,138.0,142.0,50%,33%,42%,28%,104,78,33.0,26.0,24.0,41.0,52%,56%
First,Taylor Dent,6-1 6-3 6-3,2010,m,Taylor Dent,Fabio Fognini,USA,ITA,53%,42%,7,2,3,7,79%,48%,44%,35%,225.0,187.0,192.0,169.0,170.0,139.0,67%,38%,53%,36%,81,51,27.0,20.0,26.0,32.0,61%,70%
First,Tommy Haas,6-7(5) 6-4 6-2 6-1,2010,m,Tommy Haas,Simon Greul,GER,GER,64%,48%,14,3,5,8,67%,64%,68%,42%,194.0,199.0,178.0,184.0,153.0,147.0,35%,50%,45%,31%,140,108,57.0,37.0,46.0,47.0,70%,75%
First,Marcel Granollers,5-7 2-6 6-4 6-4 6-2,2010,m,Marcel Granollers,Robin Soderling,ESP,SWE,65%,62%,11,8,1,3,61%,67%,58%,45%,205.0,211.0,176.0,185.0,141.0,149.0,47%,50%,40%,40%,151,150,40.0,57.0,40.0,67.0,64%,71%
First,Andy Roddick,6-1 6-4 6-4,2010,m,Andy Roddick,Thiemo de Bakker,USA,NED,64%,71%,7,17,1,2,75%,65%,69%,50%,217.0,209.0,180.0,178.0,161.0,141.0,27%,0%,39%,27%,100,79,25.0,43.0,23.0,42.0,58%,50%
First,Fernando Gonzalez,6-3 6-4 3-6 6-1,2010,m,Fernando Gonzalez,Olivier Rochus,CHI,BEL,59%,65%,19,5,4,4,88%,63%,46%,42%,201.0,173.0,174.0,155.0,148.0,132.0,40%,43%,43%,28%,124,99,70.0,25.0,32.0,18.0,71%,60%
First,Marin Cilic,7-5 7-5 6-3,2010,m,Marin Cilic,Fabrice Santoro,CRO,FRA,59%,62%,6,0,2,1,80%,66%,55%,49%,200.0,188.0,184.0,165.0,143.0,128.0,29%,50%,40%,30%,108,92,59.0,12.0,53.0,18.0,81%,50%
First,Bernard Tomic,6-3 6-4 6-4,2010,m,Bernard Tomic,Guillaume Rufin,AUS,FRA,66%,57%,5,2,0,2,70%,56%,62%,50%,196.0,194.0,174.0,175.0,131.0,146.0,46%,38%,46%,33%,94,70,18.0,20.0,30.0,52.0,67%,58%
First,Stanislas Wawrinka,6-3 6-3 6-2,2010,m,Stanislas Wawrinka,Guillermo Garcia-Lopez,SUI,ESP,57%,60%,6,1,4,9,83%,63%,66%,42%,213.0,186.0,180.0,171.0,147.0,137.0,71%,0%,41%,23%,93,63,27.0,13.0,27.0,40.0,67%,53%
First,James Blake,7-5 7-5 6-2,2010,m,James Blake,Arnaud Clement,USA,FRA,63%,63%,9,2,0,1,81%,63%,60%,53%,200.0,190.0,179.0,172.0,146.0,141.0,36%,50%,40%,27%,111,86,49.0,29.0,26.0,29.0,77%,58%
First,Juan Martin Del Potro,6-4 6-4 3-6 6-2,2010,m,Juan Martin Del Potro,Michael Russell,ARG,USA,60%,65%,21,4,7,9,72%,64%,48%,46%,220.0,197.0,189.0,172.0,154.0,151.0,43%,50%,40%,35%,124,116,49.0,29.0,61.0,54.0,59%,72%
First,Andy Murray,6-1 6-1 6-2,2010,m,Andy Murray,Kevin Anderson,GBR,RSA,35%,69%,9,2,1,2,87%,51%,60%,26%,212.0,208.0,195.0,194.0,147.0,171.0,67%,25%,55%,30%,87,52,37.0,20.0,19.0,32.0,89%,43%
First,Jarkko Nieminen,6-2 7-5 6-4,2010,m,Jarkko Nieminen,Nick Lindahl,FIN,AUS,78%,62%,1,7,0,2,73%,67%,62%,44%,191.0,196.0,151.0,177.0,117.0,132.0,38%,13%,41%,29%,110,87,34.0,33.0,21.0,31.0,70%,65%
First,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Matthew Ebden,FRA,AUS,65%,64%,4,2,4,2,84%,70%,63%,49%,200.0,193.0,172.0,174.0,140.0,140.0,50%,100%,37%,22%,96,79,34.0,25.0,30.0,38.0,63%,68%
First,Andrey Golubev,6-2 1-6 6-3 6-3,2010,m,Andrey Golubev,Mardy Fish,KAZ,USA,65%,52%,4,3,2,4,63%,67%,54%,39%,201.0,209.0,171.0,171.0,145.0,136.0,70%,44%,45%,39%,114,103,44.0,16.0,53.0,52.0,73%,55%
First,Rafael Nadal,7-6(0) 6-1 6-4,2010,m,Rafael Nadal,Peter Luczak,ESP,AUS,69%,59%,11,7,1,6,76%,70%,56%,35%,200.0,197.0,174.0,185.0,142.0,149.0,44%,14%,41%,30%,113,82,35.0,29.0,16.0,38.0,86%,72%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208.0,216.0,192.0,194.0,0.0,0.0,39%,75%,51%,33%,106,78,26.0,21.0,33.0,47.0,64%,39%
semi,Andy Murray,4-6 7-6(2) 6-1 7-6(2),2011,m,Andy Murray,David Ferrer,GBR,ESP,60%,67%,9,5,3,2,75%,60%,37%,49%,211.0,198.0,185.0,178.0,142.0,146.0,55%,28%,44%,40%,152,141,60.0,34.0,63.0,34.0,71%,70%
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69%,60%,6,5,5,0,73%,71%,41%,48%,207.0,203.0,191.0,189.0,149.0,157.0,36%,30%,38%,37%,119,111,29.0,35.0,35.0,44.0,62%,65%
quarter,David Ferrer,6-4 6-2 6-3,2011,m,David Ferrer,Rafael Nadal,ESP,ESP,68%,66%,8,2,2,1,72%,55%,57%,37%,198.0,207.0,178.0,179.0,149.0,142.0,47%,33%,51%,33%,102,75,44.0,19.0,32.0,34.0,76%,74%
quarter,Andy Murray,7-5 6-3 6-7(3) 6-3,2011,m,Andy Murray,Alexandr Dolgopolov,GBR,UKR,58%,58%,9,16,5,5,75%,71%,61%,35%,216.0,211.0,187.0,184.0,149.0,140.0,39%,80%,44%,31%,152,124,33.0,57.0,34.0,77.0,68%,59%
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,SRB,CZE,68%,53%,10,5,1,5,82%,71%,41%,36%,206.0,218.0,192.0,200.0,150.0,156.0,50%,50%,46%,31%,107,80,34.0,29.0,21.0,32.0,75%,47%
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,SUI,SUI,77%,58%,5,1,0,0,72%,57%,76%,56%,207.0,214.0,188.0,184.0,156.0,144.0,71%,0%,43%,27%,90,66,29.0,21.0,24.0,30.0,63%,48%
Fourth,Rafael Nadal,6-2 6-4 6-3,2011,m,Rafael Nadal,Marin Cilic,ESP,CRO,73%,55%,3,8,3,4,79%,76%,48%,33%,200.0,201.0,183.0,187.0,140.0,152.0,36%,0%,43%,29%,103,82,26.0,32.0,21.0,48.0,94%,68%
Fourth,David Ferrer,4-6 6-2 6-3 6-4,2011,m,David Ferrer,Milos Raonic,ESP,CAN,71%,61%,3,15,1,2,78%,65%,55%,51%,195.0,226.0,176.0,204.0,145.0,160.0,36%,22%,40%,29%,131,109,23.0,57.0,10.0,68.0,94%,62%
Fourth,Alexandr Dolgopolov,1-6 6-3 6-1 4-6 6-2,2011,m,Alexandr Dolgopolov,Robin Soderling,UKR,SWE,50%,62%,11,6,2,6,79%,59%,44%,38%,215.0,221.0,189.0,190.0,144.0,155.0,53%,67%,49%,38%,132,111,50.0,34.0,23.0,51.0,67%,64%
Fourth,Andy Murray,6-3 6-1 6-1,2011,m,Andy Murray,Jurgen Melzer,GBR,AUT,57%,65%,13,1,3,1,83%,51%,57%,32%,216.0,204.0,192.0,180.0,147.0,150.0,50%,13%,56%,29%,90,52,30.0,21.0,10.0,27.0,68%,58%
Fourth,Tomas Berdych,6-4 6-2 6-3,2011,m,Tomas Berdych,Fernando Verdasco,CZE,ESP,65%,57%,11,10,1,4,88%,69%,74%,44%,217.0,211.0,190.0,187.0,147.0,155.0,38%,100%,42%,17%,88,57,32.0,26.0,8.0,39.0,100%,78%
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,SRB,ESP,75%,59%,12,5,4,2,86%,61%,47%,44%,206.0,212.0,188.0,198.0,147.0,151.0,38%,0%,46%,24%,93,60,31.0,15.0,17.0,35.0,82%,50%
Fourth,Stanislas Wawrinka,6-3 6-4 6-4,2011,m,Stanislas Wawrinka,Andy Roddick,SUI,USA,49%,61%,24,9,2,4,92%,74%,65%,41%,215.0,219.0,192.0,203.0,154.0,178.0,23%,0%,39%,22%,106,85,67.0,24.0,19.0,19.0,88%,65%
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,SUI,ESP,69%,62%,10,6,1,1,79%,72%,61%,49%,203.0,205.0,184.0,176.0,149.0,142.0,40%,50%,37%,27%,117,97,50.0,28.0,40.0,21.0,72%,58%
Third,Rafael Nadal,6-2 7-5 6-3,2011,m,Rafael Nadal,Bernard Tomic,ESP,AUS,58%,64%,4,11,4,3,68%,64%,54%,35%,207.0,201.0,182.0,185.0,141.0,141.0,37%,25%,45%,37%,108,92,32.0,39.0,32.0,49.0,68%,62%
Third,Marin Cilic,4-6 6-2 6-7(5) 7-6(2) 9-7,2011,m,Marin Cilic,John Isner,CRO,USA,57%,69%,22,26,8,5,76%,76%,68%,54%,204.0,227.0,187.0,200.0,146.0,168.0,33%,9%,30%,26%,192,179,75.0,67.0,42.0,59.0,52%,67%
Third,Milos Raonic,6-4 7-5 4-6 6-4,2011,m,Milos Raonic,Mikhail Youzhny,CAN,RUS,68%,61%,31,3,2,2,71%,63%,61%,57%,225.0,190.0,203.0,177.0,158.0,146.0,75%,80%,39%,31%,123,107,64.0,24.0,54.0,26.0,48%,44%
Third,David Ferrer,6-2 6-2 6-1,2011,m,David Ferrer,Richard Berankis,ESP,LTU,58%,57%,5,1,1,5,88%,50%,58%,33%,189.0,202.0,174.0,182.0,142.0,149.0,42%,100%,54%,24%,95,53,23.0,18.0,15.0,46.0,82%,64%
Third,Robin Soderling,6-3 6-1 6-4,2011,m,Robin Soderling,Jan Hernych,SWE,CZE,60%,65%,10,0,3,1,84%,53%,53%,44%,220.0,196.0,190.0,174.0,158.0,147.0,50%,33%,49%,27%,100,67,33.0,8.0,32.0,32.0,81%,64%
Third,Alexandr Dolgopolov,3-6 6-3 3-6 6-1 6-1,2011,m,Alexandr Dolgopolov,Jo-Wilfried Tsonga,UKR,FRA,53%,60%,9,6,3,8,81%,71%,48%,33%,213.0,212.0,182.0,190.0,139.0,146.0,60%,50%,41%,34%,121,102,38.0,40.0,26.0,58.0,50%,67%
Third,Jurgen Melzer,6-7(5) 6-2 6-1 4-3 ret.,2011,m,Jurgen Melzer,Marcos Baghdatis,AUT,CYP,66%,62%,6,4,5,0,72%,63%,58%,51%,207.0,207.0,182.0,185.0,146.0,145.0,54%,25%,41%,32%,115,94,39.0,25.0,44.0,41.0,58%,52%
Third,Andy Murray,6-1 6-1 6-2,2011,m,Andy Murray,Guillermo Garcia-Lopez,GBR,ESP,64%,65%,10,3,1,4,78%,58%,57%,21%,205.0,195.0,189.0,181.0,150.0,146.0,73%,50%,52%,29%,79,48,24.0,13.0,18.0,31.0,73%,57%
Third,Tomas Berdych,6-2 7-6(3) 6-2,2011,m,Tomas Berdych,Richard Gasquet,CZE,FRA,71%,56%,9,9,1,5,77%,68%,65%,41%,217.0,211.0,194.0,186.0,147.0,152.0,50%,25%,42%,26%,103,78,39.0,34.0,17.0,38.0,59%,60%
Third,Fernando Verdasco,6-2 6-4 6-3,2011,m,Fernando Verdasco,Kei Nishikori,ESP,JPN,73%,67%,3,1,2,3,73%,64%,59%,33%,217.0,192.0,182.0,176.0,144.0,143.0,60%,25%,44%,30%,94,70,36.0,15.0,30.0,27.0,62%,53%
Third,Nicolas Almagro,6-4 7-6(8) 6-3,2011,m,Nicolas Almagro,Ivan Ljubicic,ESP,CRO,63%,55%,11,10,2,2,84%,83%,73%,54%,209.0,207.0,182.0,187.0,137.0,140.0,67%,0%,29%,20%,96,79,37.0,30.0,26.0,34.0,65%,68%
Third,Novak Djokovic,6-2 ret.,2011,m,Novak Djokovic,Viktor Troicki,SRB,SRB,77%,61%,1,2,0,1,59%,65%,80%,13%,206.0,199.0,195.0,183.0,159.0,144.0,50%,100%,54%,36%,35,25,11.0,7.0,8.0,17.0,60%,45%
Third,Andy Roddick,2-6 7-6(2) 6-2 6-2,2011,m,Andy Roddick,Robin Haase,USA,NED,68%,61%,32,10,3,5,78%,70%,56%,42%,222.0,206.0,203.0,184.0,174.0,152.0,56%,50%,39%,28%,123,99,51.0,54.0,22.0,32.0,53%,70%
Third,Stanislas Wawrinka,7-6(4) 6-2 6-3,2011,m,Stanislas Wawrinka,Gael Monfils,SUI,FRA,63%,57%,11,3,2,7,75%,61%,54%,43%,220.0,211.0,200.0,178.0,147.0,151.0,29%,33%,44%,32%,120,95,57.0,26.0,35.0,34.0,64%,57%
Third,Tommy Robredo,5-7 6-2 6-4 6-2,2011,m,Tommy Robredo,Sergiy Stakhovsky,ESP,UKR,62%,67%,3,2,4,4,64%,61%,58%,40%,200.0,199.0,176.0,178.0,139.0,149.0,57%,21%,44%,37%,140,119,38.0,36.0,35.0,48.0,73%,60%
Third,Roger Federer,6-3 6-3 6-1,2011,m,Roger Federer,Xavier Malisse,SUI,BEL,64%,60%,6,4,1,2,66%,53%,57%,35%,204.0,199.0,179.0,184.0,153.0,135.0,41%,67%,53%,37%,98,70,36.0,16.0,36.0,30.0,68%,58%
Second,Rafael Nadal,6-2 6-1 6-1,2011,m,Rafael Nadal,Ryan Sweeting,ESP,USA,63%,73%,7,2,4,5,83%,46%,54%,38%,209.0,195.0,191.0,154.0,145.0,139.0,53%,50%,53%,26%,90,52,36.0,14.0,25.0,28.0,94%,69%
Second,Bernard Tomic,7-6(4) 7-6(3) 6-3,2011,m,Bernard Tomic,Feliciano Lopez,AUS,ESP,63%,59%,10,20,3,1,82%,72%,55%,59%,202.0,218.0,182.0,192.0,143.0,158.0,60%,25%,33%,27%,104,90,35.0,47.0,21.0,40.0,74%,78%
Second,John Isner,4-6 6-4 6-2 6-1,2011,m,John Isner,Radek Stepanek,USA,CZE,76%,59%,20,3,5,3,79%,73%,63%,53%,225.0,199.0,202.0,183.0,177.0,155.0,71%,13%,34%,24%,105,82,42.0,14.0,39.0,28.0,65%,45%
Second,Marin Cilic,6-3 7-6(1) 6-1,2011,m,Marin Cilic,Santiago Giraldo,CRO,COL,47%,68%,13,2,7,2,83%,65%,60%,52%,204.0,204.0,187.0,167.0,148.0,137.0,80%,8%,38%,27%,101,73,39.0,23.0,31.0,36.0,69%,43%
Second,Mikhail Youzhny,6-3 6-1 5-7 4-6 6-1,2011,m,Mikhail Youzhny,Blaz Kavcic,RUS,SLO,58%,62%,14,6,4,8,74%,65%,55%,46%,196.0,210.0,180.0,178.0,147.0,143.0,70%,23%,40%,33%,156,133,76.0,35.0,47.0,40.0,71%,53%
Second,Milos Raonic,7-6(3) 6-3 7-6(4),2011,m,Milos Raonic,Michael Llodra,CAN,FRA,67%,62%,21,10,1,2,88%,76%,68%,51%,230.0,205.0,203.0,182.0,167.0,157.0,33%,50%,33%,19%,113,90,49.0,25.0,20.0,20.0,63%,55%
Second,Richard Berankis,6-1 6-0 2-0 ret.,2011,m,Richard Berankis,David Nalbandian,LTU,ARG,58%,61%,8,0,1,3,84%,43%,72%,28%,200.0,181.0,192.0,167.0,149.0,146.0,50%,0%,59%,20%,63,26,28.0,5.0,12.0,21.0,67%,38%
Second,David Ferrer,6-0 6-1 7-5,2011,m,David Ferrer,Michael Russell,ESP,USA,62%,57%,8,4,3,4,82%,66%,71%,29%,195.0,198.0,176.0,175.0,140.0,149.0,50%,-,48%,21%,90,55,28.0,18.0,22.0,35.0,89%,76%
